label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,monterey,CA,-121.908915,36.606225,263,148,0,0,seeking a,11,masculine bottoms,8,male looking,7,a top,6,for masculine,6
city,cincinnati,IA,-92.953118,40.626921,1429,765,216,69,to suck,62,oral m4m,47,let s,38,for fun,33,want to,30
city,merced,CA,-120.509750,37.412623,39,39,0,39,want to,5,a fem,2,a girlfriend,2,a real,2,busco un,2
city,fort myers,FL,-81.94861,26.552895,661,522,78,43,a female,42,email buddy,41,female email,40,guy looking,18,a friend,13
city,"athens, GA",GA,-83.38908,33.944339,142,124,27,17,for fun,11,a good,7,still looking,6,country girl,5,and stroke,4
city,roanoke,TX,-97.116282,33.20743,38,109,0,40,seeking a,5,a good,4,guy looking,4,i want,4,tired of,4
city,bismarck,AR,-93.11742,34.276538,53,32,33,16,for younger,4,fun m4m,3,guy looking,3,want a,3,a boy,2
city,wyoming,IL,-89.788462,41.085606,99,136,32,57,for friends,6,new to,6,for ltr,5,for something,5,a girl,4
city,appleton,WA,-121.312852,45.850437,62,250,88,54,long term,48,term relationship,44,a good,8,for someone,7,a friend,5
city,tulsa,OK,-96.029725,36.139826,353,557,120,49,for fwb,20,bbw for,16,for ltr,13,man looking,12,want to,12
city,wausau,WI,-89.531804,44.952863,21,85,41,63,tired of,5,live in,4,long term,4,a girlfriend,3,a real,3
city,rapid city,SD,-103.317149,44.076106,0,38,38,0,a good,3,a movie,2,country girl,2,don t,2,going to,2
city,"rochester, NY",NY,-77.684264,43.286024,641,492,110,36,want to,25,i want,23,for fun,19,bottom looking,17,seeking a,17
city,muskegon,MI,-86.278985,43.295208,0,38,0,38,out there,3,the right,3,a country,2,a friend,2,best friend,2
city,syracuse,UT,-112.079415,41.096293,244,220,58,57,fun m4m,9,guy looking,9,discreet fun,8,for discreet,7,gl masc,7
city,pueblo,CO,-104.552299,38.128626,79,76,0,0,to suck,8,fuck m4m,7,n fuck,6,suck n,6,fuck me,4
city,norfolk,NE,-97.601348,41.916476,1471,995,279,187,want to,42,to suck,41,i want,34,for ltr,30,seeking a,28
city,"albany, NY",NY,-73.970812,42.614852,618,417,98,56,to suck,25,want to,17,a good,16,for fun,16,guy looking,16
city,bozeman,MT,-110.901280,45.627982,56,60,40,26,23 28,5,a girl,5,some fun,5,lets have,4,searching for,4
city,mattoon,IL,-88.247012,39.505679,0,0,0,41,new to,2,20 yr,1,22 stud,1,38 butch,1,a bestie,1
city,augusta,AR,-91.372792,35.207566,80,162,43,33,a friend,5,black male,4,for someone,4,guy looking,4,i want,4
city,southwest TX,PA,-79.439801,40.360223,13,16,24,20,to suck,5,fun and,4,for fun,3,for something,3,relacion seria,3
city,chicago,IL,-87.68732,41.811929,1934,826,148,55,to suck,62,want to,50,guy looking,44,for fun,38,i want,30
city,greenville,CA,-120.878840,40.124832,480,340,108,48,to suck,38,want to,19,i want,16,to play,16,for fun,15
city,harrisonburg,LA,-91.890463,31.746835,65,77,17,39,a friend,4,a date,3,bottom for,3,for friends,3,for jmu,3
city,sarasota,FL,-82.528488,27.331628,256,295,38,0,man with,14,seeking a,13,southern charm,13,southern man,13,to suck,13
city,"farmington, NM",NM,-108.069250,36.774472,18,28,17,73,for friend,3,friend and,3,old looking,3,the one,3,year old,3
city,eastern KY,KY,-82.818388,37.512564,193,138,6,19,out there,6,for fun,5,let s,4,lookin for,4,want to,4
city,morgantown,IN,-86.267561,39.244566,37,38,0,38,first time,5,man looking,4,for ltr,3,maybe more,3,a straight,2
city,bakersfield,CA,-118.905173,35.294405,292,213,48,45,bottom looking,18,to suck,8,want to,7,to play,6,a relationship,5
city,spokane,WA,-117.431742,47.653568,220,437,126,57,for someone,11,want to,11,i want,10,glory hole,9,guy looking,9
city,great falls,MT,-111.239305,47.619998,67,35,42,25,a girl,5,a man,3,for friendship,3,for love,3,lets have,3
city,brownsville,OR,-122.942438,44.378703,54,69,26,68,i m,5,seeking latina,5,male seeking,4,married white,4,white male,4
city,stockton,CA,-121.253872,37.889849,359,177,32,25,to suck,21,want to,17,guy looking,15,a good,7,bottom looking,7
city,cedar rapids,NE,-98.150139,41.558087,56,72,19,32,long term,5,a good,4,to play,4,for fun,3,for someone,3
city,lake city,CA,-120.179132,41.763674,0,0,0,38,for friends,3,friend with,2,sexy trucker,2,29 year,1,35 wf,1
city,provo,UT,-111.635353,40.218905,472,158,0,39,make out,13,hang out,9,a guy,8,for fun,8,up for,8
city,imperial co,CA,-115.640538,33.008903,31,20,8,,guy looking,3,i want,3,a friend,2,a hot,2,friend with,2
city,corvallis,OR,-123.445033,44.49893,23,79,20,47,new to,5,50 s,3,for ltr,3,guy looking,3,18 30,2
city,wenatchee,WA,-120.520211,47.905787,18,54,23,19,a good,4,for love,3,for someone,3,hola busco,3,maybe more,3
city,asheville,NC,-82.528558,35.620335,151,246,53,52,for fun,8,want to,7,i want,6,someone to,6,year old,6
city,mansfield,WA,-119.525987,47.847735,0,74,0,0,a d,5,d a,5,d d,5,d y,5,g a,5
city,glens falls,NY,-73.669061,43.31888,20,44,12,76,have fun,6,woman to,6,a woman,5,a friend,4,a special,4
city,rockford,WA,-117.255465,47.672177,38,113,39,0,tired of,5,maybe more,4,a friend,3,a fun,3,for fun,3
city,elmira,OR,-123.388216,44.097363,17,58,15,53,don t,4,the right,4,bi female,3,female looking,3,let s,3
city,southwest MN,PA,-79.439801,40.360223,13,16,24,20,something new,4,maybe more,3,femme looking,2,for friends,2,for love,2
city,southwest MI,PA,-79.439801,40.360223,13,16,24,20,a friend,4,family mw4w,3,friend or,3,maybe more,3,or fwbs,3
city,blacksburg,SC,-81.494193,35.10953,0,38,0,38,a sexy,3,lady for,3,the one,3,2nite mw4w,2,an old,2
city,ann arbor,MI,-83.836571,42.253502,274,177,57,25,guy looking,10,want to,10,for fun,7,for ltr,7,only read,7
city,new hampshire,OH,-83.950093,40.549772,705,713,110,0,want to,37,str8 college,28,college guy,26,for ltr,21,seeking a,20
city,southwest MS,PA,-79.439801,40.360223,13,16,24,20,i want,4,a good,3,something real,3,4 stud,2,a real,2
city,texarkana,TX,-94.39495,33.476552,31,24,8,44,girl wanted,3,ninezeroeight threefivenineeight,3,ninezerothree ninezeroeight,3,a cute,2,a stud,2
city,lake charles,LA,-93.326527,30.264232,28,39,30,74,something real,4,female friend,3,for fun,3,for someone,3,for something,3
city,bend,OR,-120.949520,44.001834,43,93,23,46,for younger,5,new to,5,i m,4,lookin for,4,a good,3
city,"birmingham, AL",AL,-86.929208,33.544622,631,342,119,55,to suck,48,a good,21,want to,19,i want,16,fun m4m,13
city,college station,TX,-96.293826,30.579234,317,132,35,12,to suck,14,for fun,12,college athlete,8,to give,7,want to,7
city,lubbock,TX,-101.821292,33.610018,192,155,0,38,let s,11,i want,7,something real,5,want to,5,a good,4
city,north platte,NE,-100.746912,41.046447,0,0,0,37,for something,3,want a,3,a gf,2,for long,2,i want,2
city,louisville,CO,-105.373507,40.087835,431,476,77,38,guy looking,17,to suck,16,want to,15,a good,14,i m,14
city,chillicothe,TX,-99.547098,34.195699,24,45,17,61,a sexy,9,female to,9,fine female,9,sexy fine,9,to penpal,9
city,springfield,OR,-122.872806,44.095761,139,378,80,53,a good,13,the one,13,out there,11,a friend,10,girls only,9
city,mankato,KS,-98.20595,39.787529,0,39,0,39,something new,3,anyone want,2,anything goes,2,femme looking,2,for femme,2
