label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,monterey,CA,-121.908915,36.606225,263,148,0,0,m4m,73,top,28,bottom,21,guy,21,seeking,21
city,cincinnati,IA,-92.953118,40.626921,1429,765,216,69,m4m,488,fun,138,need,121,guy,120,suck,103
city,merced,CA,-120.509750,37.412623,39,39,0,39,m4m,9,guy,6,need,6,seeking,6,want,6
city,fort myers,FL,-81.94861,26.552895,661,522,78,43,m4m,202,female,59,fun,58,guy,57,woman,54
city,"athens, GA",GA,-83.38908,33.944339,142,124,27,17,m4m,32,seeking,26,fun,20,man,18,good,17
city,roanoke,TX,-97.116282,33.20743,38,109,0,40,seeking,15,woman,15,good,10,guy,9,relationship,8
city,bismarck,AR,-93.11742,34.276538,53,32,33,16,m4m,11,man,9,fun,8,real,7,guy,6
city,wyoming,IL,-89.788462,41.085606,99,136,32,57,m4m,35,fun,17,friend,14,more,14,m4w,13
city,appleton,WA,-121.312852,45.850437,62,250,88,54,relationship,55,long,48,term,48,fun,19,guy,19
city,tulsa,OK,-96.029725,36.139826,353,557,120,49,m4m,114,fwb,57,guy,47,seeking,44,fun,40
city,wausau,WI,-89.531804,44.952863,21,85,41,63,real,11,seeking,11,guy,10,fun,8,girl,8
city,rapid city,SD,-103.317149,44.076106,0,38,38,0,m4w,6,good,4,new,4,someone,4,trying,4
city,"rochester, NY",NY,-77.684264,43.286024,641,492,110,36,m4m,136,seeking,72,fun,64,guy,63,m4w,47
city,muskegon,MI,-86.278985,43.295208,0,38,0,38,girl,7,woman,6,friends,5,fun,5,real,5
city,syracuse,UT,-112.079415,41.096293,244,220,58,57,fun,41,m4m,41,seeking,36,guy,23,woman,22
city,pueblo,CO,-104.552299,38.128626,79,76,0,0,m4m,25,fuck,16,need,12,suck,10,m4w,8
city,norfolk,NE,-97.601348,41.916476,1471,995,279,187,m4m,396,bottom,141,seeking,121,top,117,fun,107
city,"albany, NY",NY,-73.970812,42.614852,618,417,98,56,m4m,117,guy,64,fun,60,seeking,59,bottom,52
city,bozeman,MT,-110.901280,45.627982,56,60,40,26,girl,17,m4m,13,fun,12,seeking,11,man,8
city,mattoon,IL,-88.247012,39.505679,0,0,0,41,curious,4,new,4,fwb,3,need,3,stud,3
city,augusta,AR,-91.372792,35.207566,80,162,43,33,fun,19,m4m,19,guy,18,seeking,17,black,13
