label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,cincinnati,OH,-84.53822,39.166759,1429,765,216,69,to suck,62,oral m4m,47,let s,38,for fun,33,want to,30
city,merced,CA,-120.509750,37.412623,39,39,0,39,want to,5,a fem,2,a girlfriend,2,a real,2,busco un,2
city,the thumb,MI,no_lon_found,no_lat_found,4,15,6,29,woman to,3,discretion discretion,2,for someone,2,i m,2,seeking a,2
city,roanoke,VA,-79.786151,37.555083,38,109,0,40,seeking a,5,a good,4,guy looking,4,i want,4,tired of,4
city,bismarck,ND,-100.520063,46.980475,53,32,33,16,for younger,4,fun m4m,3,guy looking,3,want a,3,a boy,2
city,farmington,NM,-108.069250,36.774472,18,28,17,73,for friend,3,friend and,3,old looking,3,the one,3,year old,3
city,wyoming,WY,-104.249495,41.335468,99,136,32,57,for friends,6,new to,6,for ltr,5,for something,5,a girl,4
city,east oregon,OR,-122.523602,45.317893,4,20,13,74,out there,5,someone to,4,a girl,3,for fun,3,for someone,3
city,duluth / superior,MN,-92.442797,47.640367,25,78,25,45,older for,4,out there,4,for friends,3,for love,3,i want,3
city,orange county,CA,-119.783475,36.677384,6923,2025,297,112,to suck,301,want to,176,i want,163,guy looking,152,for fun,123
city,mendocino county,CA,-123.734377,39.319949,0,0,0,34,bi curious,2,bi or,2,for fun,2,i wanna,2,maybe more,2
city,tulsa,OK,-96.029725,36.139826,353,557,120,49,for fwb,20,bbw for,16,for ltr,13,man looking,12,want to,12
city,wausau,WI,-89.531804,44.952863,21,85,41,63,tired of,5,live in,4,long term,4,a girlfriend,3,a real,3
city,southwest MN,MN,-95.785872,44.460429,4,20,4,47,something new,4,maybe more,3,femme looking,2,for friends,2,for love,2
city,muskegon,MI,-86.278985,43.295208,0,38,0,38,out there,3,the right,3,a country,2,a friend,2,best friend,2
city,dothan,AL,-85.4828,31.219697,30,71,25,59,a sexy,4,for love,4,a big,3,and flirt,3,big top,3
city,syracuse,NY,-76.171351,43.067576,244,220,58,57,fun m4m,9,guy looking,9,discreet fun,8,for discreet,7,gl masc,7
city,pueblo,CO,-104.552299,38.128626,79,76,0,0,to suck,8,fuck m4m,7,n fuck,6,suck n,6,fuck me,4
city,columbia / jeff city,MO,-92.102153,38.903318,81,169,72,25,i m,8,lookin for,8,a good,7,for something,7,for someone,6
city,hawaii,HI,-155.818291,20.222737,1827,652,163,69,to suck,52,want to,38,guy looking,28,i m,28,here m4m,26
city,san angelo,TX,-100.689590,31.39577,0,37,0,0,a cup,2,black male,2,male looking,2,seeking ltr,2,325 west,1
city,bozeman,MT,-110.901280,45.627982,56,60,40,26,23 28,5,a girl,5,some fun,5,lets have,4,searching for,4
city,la salle co,IL,-89.0866,41.365092,8,26,16,2,addict seeks,2,seeks same,2,special someone,2,to give,2,18 25,1
city,scranton / wilkes-barre,PA,-75.637626,41.401881,219,148,39,38,looking 4,11,want to,7,and go,6,for someone,6,for something,6
city,space coast,FL,no_lon_found,no_lat_found,107,198,60,22,for ltr,7,out there,6,dad seeking,5,single dad,5,bottom looking,4
city,north mississippi,MS,-88.743329,33.415601,73,112,40,38,a good,5,i m,5,let s,5,want to,5,a friend,4
city,southwest TX,TX,no_lon_found,no_lat_found,51,2,54,20,to suck,5,fun and,4,for fun,3,for something,3,relacion seria,3
city,chicago,IL,-87.68732,41.811929,1934,826,148,55,to suck,62,want to,50,guy looking,44,for fun,38,i want,30
city,tri-cities,TN,no_lon_found,no_lat_found,46,100,54,60,a friend,7,for someone,6,want to,5,a nice,4,for fun,4
city,champaign urbana,IL,-88.361251,40.113139,130,96,50,43,want to,6,needs a,5,to suck,5,a friend,4,a good,4
city,richmond,VA,-77.431555,37.540646,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,dallas / fort worth,TX,-96.777626,32.767268,9108,3178,745,399,to suck,243,want to,220,guy looking,159,for fun,154,let s,112
city,colorado springs,CO,-104.562027,38.82469,309,528,185,59,guy looking,19,i m,16,want to,15,let s,14,for something,12
city,harrisonburg,VA,-78.874173,38.440898,65,77,17,39,a friend,4,a date,3,bottom for,3,for friends,3,for jmu,3
city,eastern kentucky,KY,-85.191533,37.903151,29,52,57,69,out there,6,for fun,5,let s,4,lookin for,4,want to,4
city,morgantown,WV,-79.922871,39.595329,37,38,0,38,first time,5,man looking,4,for ltr,3,maybe more,3,a straight,2
city,bakersfield,CA,-118.905173,35.294405,292,213,48,45,bottom looking,18,to suck,8,want to,7,to play,6,a relationship,5
city,utica-rome-oneida,NY,-75.47796,43.239274,38,89,31,59,for ltr,6,bi female,4,for older,4,swm seeks,4,a fun,3
city,western maryland,MD,-76.607676,38.312112,24,40,28,26,for friendship,3,i m,3,a friend,2,a good,2,a new,2
city,lima / findlay,OH,-84.138298,40.795463,21,115,35,43,i m,7,a friend,5,and more,5,for someone,5,guy looking,5
city,great falls,MT,-111.239305,47.619998,67,35,42,25,a girl,5,a man,3,for friendship,3,for love,3,lets have,3
city,brownsville,TX,-97.469871,25.971728,54,69,26,68,i m,5,seeking latina,5,male seeking,4,married white,4,white male,4
city,york,PA,-76.687826,39.972985,78,154,31,6,country girl,5,guy looking,5,nice guy,5,4 u,4,a friend,4
city,beaumont / port arthur,TX,-94.190147,30.111843,50,55,24,6,super 8,3,a woman,2,at super,2,for nsa,2,for someone,2
city,cedar rapids,IA,-91.599215,42.079415,56,72,19,32,long term,5,a good,4,to play,4,for fun,3,for someone,3
city,kennewick-pasco-richland,WA,-119.263991,46.155994,41,20,60,22,a friend,3,bbw looking,3,want to,3,a good,2,a nice,2
city,florence,SC,-79.622227,34.061465,32,43,21,11,bottom m4m,3,a date,2,a good,2,bdsm enjoyment,2,blow job,2
city,hampton roads,VA,-76.38992,37.072658,25,17,6,57,a friend,3,curious latina,3,let s,3,a girlfriend,2,for tonight,2
city,athens,OH,-82.013803,39.339279,142,124,27,17,for fun,11,a good,7,still looking,6,country girl,5,and stroke,4
city,brunswick,GA,-81.530477,31.280403,32,32,24,40,a new,3,friend with,3,i m,3,want a,3,a hott,2
city,reno / tahoe,NV,-119.586934,40.541218,540,379,41,0,guy looking,18,want to,17,i want,12,a good,11,bottom looking,10
city,southern maryland,MD,-76.763069,38.309507,77,65,37,11,to suck,4,a good,3,black cocksucker,3,for someone,3,h j,3
city,provo / orem,UT,-111.635353,40.218905,472,158,0,39,make out,13,hang out,9,a guy,8,for fun,8,up for,8
city,elmira-corning,NY,no_lon_found,no_lat_found,17,58,15,53,don t,4,the right,4,bi female,3,female looking,3,let s,3
city,asheville,NC,-82.528558,35.620335,151,246,53,52,for fun,8,want to,7,i want,6,someone to,6,year old,6
city,northeast SD,SD,-96.856021,43.298098,38,0,0,0,for younger,3,fun m4m,2,want a,2,younger for,2,18 to,1
city,mansfield,OH,-82.532057,40.772874,0,74,0,0,a d,5,d a,5,d d,5,d y,5,g a,5
city,santa fe / taos,NM,-105.981847,35.521181,191,38,0,38,to suck,7,for ltr,5,fun m4m,5,i want,5,guy looking,4
city,glens falls,NY,-73.669061,43.31888,20,44,12,76,have fun,6,woman to,6,a woman,5,a friend,4,a special,4
city,rockford,IL,-89.170527,42.325364,38,113,39,0,tired of,5,maybe more,4,a friend,3,a fun,3,for fun,3
city,western massachusetts,MA,-72.896133,42.40494,465,310,74,41,to suck,18,i m,12,want to,11,let s,10,out there,9
city,ann arbor,MI,-83.836571,42.253502,274,177,57,25,guy looking,10,want to,10,for fun,7,for ltr,7,only read,7
city,new hampshire,NH,-71.305437,43.059283,705,713,110,0,want to,37,str8 college,28,college guy,26,for ltr,21,seeking a,20
city,southwest MS,MS,-90.29272,34.235111,2,7,6,68,i want,4,a good,3,something real,3,4 stud,2,a real,2
city,central louisiana,LA,-90.0901,29.677893,22,41,31,70,for someone,5,out there,4,a good,3,a stud,3,female friend,3
city,tampa bay area,FL,-82.438841,27.871964,2268,1335,245,150,to suck,87,guy looking,63,want to,57,seeking a,48,for fun,43
city,texarkana,AR,-93.876485,33.431043,31,24,8,44,girl wanted,3,ninezeroeight threefivenineeight,3,ninezerothree ninezeroeight,3,a cute,2,a stud,2
city,southeast KS,KS,-94.947234,39.133448,11,34,13,48,a woman,5,lookin for,4,a girl,2,am seeking,2,best friend,2
city,lake charles,LA,-93.326527,30.264232,28,39,30,74,something real,4,female friend,3,for fun,3,for someone,3,for something,3
city,bend,OR,-120.949520,44.001834,43,93,23,46,for younger,5,new to,5,i m,4,lookin for,4,a good,3
city,college station,TX,-96.293826,30.579234,317,132,35,12,to suck,14,for fun,12,college athlete,8,to give,7,want to,7
city,san francisco bay area,CA,-122.727802,37.784827,2376,804,179,54,to suck,72,guy looking,51,want to,47,bottom looking,34,for fun,32
city,hanford-corcoran,CA,-119.894727,36.138861,25,17,6,57,a friend,3,curious latina,3,let s,3,a girlfriend,2,for tonight,2
city,lubbock,TX,-101.821292,33.610018,192,155,0,38,let s,11,i want,7,something real,5,want to,5,a good,4
city,sioux falls / SE SD,SD,-96.79134,43.674582,37,110,37,0,a good,4,for someone,4,searching for,4,tired of,4,for ltr,3
city,north platte,NE,-100.746912,41.046447,0,0,0,37,for something,3,want a,3,a gf,2,for long,2,i want,2
city,east idaho,ID,-113.213308,43.634236,65,89,10,80,want to,6,a girl,5,for fun,5,someone to,5,a real,4
city,louisville,KY,-85.521751,38.176762,431,476,77,38,guy looking,17,to suck,16,want to,15,a good,14,i m,14
city,catskills,NY,-74.021968,42.258459,11,27,19,47,a special,4,cowgirl wanted,3,cute married,3,female looking,3,married female,3
city,chillicothe,OH,-82.991332,39.337384,24,45,17,61,a sexy,9,female to,9,fine female,9,sexy fine,9,to penpal,9
city,springfield,MO,-93.259586,37.181498,139,378,80,53,a good,13,the one,13,out there,11,a friend,10,girls only,9
city,mankato,MN,-94.069828,44.056047,0,39,0,39,something new,3,anyone want,2,anything goes,2,femme looking,2,for femme,2
city,valdosta,GA,-83.207206,30.975119,30,54,30,42,a good,5,for friends,4,i m,4,let s,3,seeking a,3
city,grand forks,ND,-97.394446,47.933481,44,39,29,22,a woman,3,long term,3,want a,3,a cuddle,2,a girl,2
city,billings,MT,-108.194508,45.978288,35,73,25,35,tired of,5,a girl,4,for friends,4,u tired,4,want to,4
city,ogden-clearfield,UT,-111.956721,41.255285,80,39,0,40,blowjob m4m,3,fun m4m,3,a friend,2,a gf,2,a girl,2
city,ft myers / SW florida,FL,-81.683649,30.659689,661,522,78,43,a female,42,email buddy,41,female email,40,guy looking,18,a friend,13
city,galveston,TX,-94.800238,29.330501,35,37,13,3,i want,4,a relationship,3,want a,3,want to,3,my area,2
city,houston,TX,-95.434241,29.83399,8125,2684,541,495,to suck,317,want to,203,guy looking,166,i want,133,for fun,127
city,tallahassee,FL,-84.29095,30.449428,216,149,76,47,guy looking,8,want to,8,with benefits,8,seeking a,7,i m,6
city,auburn,AL,-85.518913,32.592036,35,36,20,3,to please,4,right now,3,23 male,2,a female,2,black cock,2
