label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
state,Washington,WA,,,742,1007,336,241,for someone,6,for ltr,6,a good,4,a nice,4,seeking a,4
state,Delaware,DE,,,945,352,69,36,to suck,35,want to,32,top looking,20,for fun,19,guy looking,18
state,Wisconsin,WI,,,1512,1984,488,431,to suck,51,guy looking,38,want to,29,i want,21,seeking a,20
state,West Virginia,WV,,,553,496,177,204,a good,16,for ltr,15,want to,15,bottom hosting,11,guy looking,11
state,Hawaii,HI,,,1827,652,163,69,to suck,52,want to,38,guy looking,28,i m,28,here m4m,26
state,Florida,FL,,,10642,6864,1457,926,to suck,235,want to,191,for fun,124,seeking a,99,i want,73
state,Wyoming,WY,,,99,136,32,57,new to,6,for friends,6,for ltr,5,for something,5,a girl,4
state,New Hampshire,NH,,,705,713,110,0,want to,37,str8 college,28,college guy,26,for ltr,21,seeking a,20
state,New Jersey,NJ,,,9449,2718,565,217,to suck,405,want to,318,i want,242,to give,103,now m4m,85
state,New Mexico,NM,,,1729,693,158,338,to suck,65,want to,42,for fun,29,i want,18,guy looking,18
state,Texas,TX,,,27932,11019,2616,1880,to suck,584,want to,439,guy looking,343,i want,204,for fun,142
state,Louisiana,LA,,,2123,1110,358,426,want to,63,to suck,60,top looking,38,mardi gras,32,bottom looking,27
state,North Carolina,NC,,,6763,3858,1255,480,want to,80,to suck,74,seeking a,69,guy looking,57,for fun,53
state,North Dakota,ND,,,148,258,115,58,want a,6,for younger,4,a girl,4,fun m4m,3,a woman,3
state,Nebraska,NE,,,362,653,97,229,want a,7,out there,6,for something,6,a date,5,a woman,5
state,Tennessee,TN,,,4574,2483,632,439,to suck,149,want to,117,i want,97,guy looking,75,let s,47
state,New York,NY,,,7481,2784,979,981,to suck,72,want to,58,a nice,28,for fun,28,seeking a,25
state,Pennsylvania,PA,,,9409,4270,835,810,to suck,242,want to,180,for fun,155,guy looking,91,for now,81
state,Alaska,AK,,,187,389,169,50,for someone,5,out there,4,for ltr,3,a good,3,good woman,3
state,Nevada,NV,,,5704,2340,313,344,to suck,175,want to,110,guy looking,88,let s,77,for fun,74
state,Virginia,VA,,,388,660,146,350,a good,20,a friend,16,seeking a,11,out there,9,guy looking,8
state,Colorado,CO,,,6488,3285,651,301,to suck,181,want to,165,guy looking,133,let s,97,for fun,85
state,California,CA,,,23763,8382,1410,1034,to suck,420,want to,291,guy looking,216,i want,205,i host,89
state,Alabama,AL,,,1050,1036,313,257,bi bottom,10,bottom looking,9,sexy female,7,for ltr,7,for someone,6
state,Arkansas,AR,,,361,516,134,141,to suck,16,a good,12,little rock,8,a friend,8,for someone,8
state,Vermont,VT,,,122,213,45,60,out there,8,want to,7,cd for,7,to cuddle,6,i want,6
state,Illinois,IL,,,2273,1349,371,341,to suck,62,want to,50,guy looking,44,for fun,41,i want,30
state,Georgia,GA,,,8284,3917,960,981,to suck,250,want to,186,seeking a,158,guy looking,140,i want,137
state,Indiana,IN,,,1787,1527,419,434,to suck,62,want to,46,a good,36,i want,29,guy looking,21
state,Iowa,IA,,,327,756,209,526,a good,15,long term,13,for ltr,12,out there,11,want to,9
state,Massachusetts,MA,,,2070,1096,270,127,want to,31,to suck,29,guy looking,25,for fun,24,now m4m,19
state,Arizona,AZ,,,6932,3276,568,287,to suck,239,want to,236,i want,143,guy looking,139,for fun,94
state,Idaho,ID,,,356,600,156,281,want to,22,out there,16,let s,9,in boise,8,the one,8
state,Connecticut,CT,,,1393,800,139,146,to suck,64,for fun,31,guy looking,30,want to,21,i host,17
state,Maine,ME,,,534,500,81,0,want to,24,for fun,17,seeking a,15,fun m4m,14,to suck,13
state,Maryland,MD,,,3043,1435,364,210,to suck,113,want to,71,guy looking,53,bottom looking,48,a good,39
state,Oklahoma,OK,,,1643,1488,340,208,want to,58,i want,35,to suck,34,for older,33,guy looking,29
state,Ohio,OH,,,5748,3902,985,637,to suck,130,want to,93,oral m4m,47,guy looking,41,let s,38
state,Utah,UT,,,2540,879,90,200,to suck,6,guy looking,5,for fun,5,fun times,4,a friend,3
state,Missouri,MO,,,5253,3392,855,470,to suck,151,want to,149,i want,107,guy looking,85,fun now,43
state,Minnesota,MN,,,4054,2028,344,351,something new,13,maybe more,10,for love,8,for friends,7,femme looking,4
state,Michigan,MI,,,3639,2553,673,1017,to suck,121,want to,93,guy looking,87,want a,57,i want,54
state,Rhode Island,RI,,,1204,532,75,0,to suck,37,guy looking,33,want to,33,for fun,24,i want,17
state,Kansas,KS,,,161,536,126,421,a woman,16,for someone,13,for sexy,8,a friend,7,a nice,7
state,Montana,MT,,,403,279,297,220,a girl,34,lets have,16,for friendship,14,a man,14,for love,9
state,Mississippi,MS,,,160,318,119,215,something real,6,i want,4,a good,3,want to,3,for someone,3
state,South Carolina,SC,,,1164,925,312,138,want to,34,i want,28,to suck,18,a top,13,for ltr,12
state,Kentucky,KY,,,821,979,267,281,to suck,37,a good,36,i m,19,for fun,18,guy looking,17
state,Oregon,OR,,,526,1090,193,357,i m,26,want to,14,guy looking,14,out there,12,for fun,9
state,South Dakota,SD,,,111,148,113,0,a good,5,good man,3,for younger,3,fun m4m,2,want a,2
country,USA,USA,,,180475,93455,22031,18227,to suck,4196,want to,3418,guy looking,1958,i want,1582,for fun,1119
